item,subject,semantic,parallel,condition,RT
ma-ma.10,35,1,2,ma-ma,288
ma-ma.10,36,1,2,ma-ma,268
ma-ma.10,37,1,2,ma-ma,278
ma-ma.11,1,1,2,ma-ma,347
ma-ma.11,2,1,2,ma-ma,307
ma-ma.11,3,1,2,ma-ma,176
ma-ma.11,4,1,2,ma-ma,484
ma-ma.11,5,1,2,ma-ma,303
ma-ma.11,6,1,2,ma-ma,288
ma-ma.11,7,1,2,ma-ma,215
ma-ma.11,8,1,2,ma-ma,176
ma-ma.11,9,1,2,ma-ma,0
ma-ma.11,10,1,2,ma-ma,215
ma-ma.11,11,1,2,ma-ma,220
ma-ma.11,12,1,2,ma-ma,259
ma-ma.11,13,1,2,ma-ma,1046.5
ma-ma.11,14,1,2,ma-ma,244
ma-ma.11,15,1,2,ma-ma,479
ma-ma.11,16,1,2,ma-ma,313
ma-ma.11,17,1,2,ma-ma,171
ma-ma.11,18,1,2,ma-ma,175
ma-ma.11,19,1,2,ma-ma,293
ma-ma.11,20,1,2,ma-ma,171
ma-ma.11,21,1,2,ma-ma,347
ma-ma.11,22,1,2,ma-ma,216
ma-ma.11,23,1,2,ma-ma,287
ma-ma.11,24,1,2,ma-ma,448
ma-ma.11,25,1,2,ma-ma,332
ma-ma.11,26,1,2,ma-ma,252
ma-ma.11,27,1,2,ma-ma,479
ma-ma.11,28,1,2,ma-ma,894
ma-ma.11,29,1,2,ma-ma,318
ma-ma.11,30,1,2,ma-ma,1198.3
ma-ma.11,31,1,2,ma-ma,122
ma-ma.11,32,1,2,ma-ma,518
ma-ma.11,33,1,2,ma-ma,127
ma-ma.11,34,1,2,ma-ma,293
ma-ma.11,35,1,2,ma-ma,234
ma-ma.11,36,1,2,ma-ma,171
ma-ma.11,37,1,2,ma-ma,342
ma-ma.12,1,1,2,ma-ma,287
ma-ma.12,2,1,2,ma-ma,162
ma-ma.12,3,1,2,ma-ma,92
ma-ma.12,4,1,2,ma-ma,391
ma-ma.12,5,1,2,ma-ma,249
ma-ma.12,6,1,2,ma-ma,371
ma-ma.12,7,1,2,ma-ma,440
ma-ma.12,8,1,2,ma-ma,606
ma-ma.12,9,1,2,ma-ma,396
ma-ma.12,10,1,2,ma-ma,244
ma-ma.12,11,1,2,ma-ma,420
ma-ma.12,12,1,2,ma-ma,137
ma-ma.12,13,1,2,ma-ma,239
ma-ma.12,14,1,2,ma-ma,171
ma-ma.12,15,1,2,ma-ma,298
ma-ma.12,16,1,2,ma-ma,161
ma-ma.12,17,1,2,ma-ma,0
ma-ma.12,18,1,2,ma-ma,0
ma-ma.12,19,1,2,ma-ma,92
ma-ma.12,20,1,2,ma-ma,640
ma-ma.12,21,1,2,ma-ma,254
ma-ma.12,22,1,2,ma-ma,261
ma-ma.12,23,1,2,ma-ma,392
ma-ma.12,24,1,2,ma-ma,261
ma-ma.12,25,1,2,ma-ma,226
ma-ma.12,26,1,2,ma-ma,392
ma-ma.12,27,1,2,ma-ma,0
ma-ma.12,28,1,2,ma-ma,314
ma-ma.12,29,1,2,ma-ma,225
ma-ma.12,30,1,2,ma-ma,352
ma-ma.12,31,1,2,ma-ma,176
ma-ma.12,32,1,2,ma-ma,127
ma-ma.12,33,1,2,ma-ma,352
ma-ma.12,34,1,2,ma-ma,303
ma-ma.12,35,1,2,ma-ma,156
ma-ma.12,36,1,2,ma-ma,102
ma-ma.12,37,1,2,ma-ma,273
ma-nma.01,1,2,1,ma-nma,322
ma-nma.01,2,2,1,ma-nma,146.5
ma-nma.01,3,2,1,ma-nma,0
ma-nma.01,4,2,1,ma-nma,127
ma-nma.01,5,2,1,ma-nma,371
ma-nma.01,6,2,1,ma-nma,244
ma-nma.01,7,2,1,ma-nma,244
ma-nma.01,8,2,1,ma-nma,591
ma-nma.01,9,2,1,ma-nma,0
ma-nma.01,10,2,1,ma-nma,293
ma-nma.01,11,2,1,ma-nma,459
ma-nma.01,12,2,1,ma-nma,347
ma-nma.01,13,2,1,ma-nma,152
ma-nma.01,14,2,1,ma-nma,112
ma-nma.01,15,2,1,ma-nma,327
ma-nma.01,16,2,1,ma-nma,239
ma-nma.01,17,2,1,ma-nma,176
ma-nma.01,18,2,1,ma-nma,283
ma-nma.01,19,2,1,ma-nma,190
ma-nma.01,20,2,1,ma-nma,244
ma-nma.01,21,2,1,ma-nma,410
ma-nma.01,22,2,1,ma-nma,221
ma-nma.01,23,2,1,ma-nma,754
ma-nma.01,24,2,1,ma-nma,206
ma-nma.01,25,2,1,ma-nma,1149.7
ma-nma.01,26,2,1,ma-nma,644.2
ma-nma.01,27,2,1,ma-nma,97
ma-nma.01,28,2,1,ma-nma,278
ma-nma.01,29,2,1,ma-nma,332
ma-nma.01,30,2,1,ma-nma,176
ma-nma.01,31,2,1,ma-nma,713.8
ma-nma.01,32,2,1,ma-nma,180
ma-nma.01,33,2,1,ma-nma,361
ma-nma.01,34,2,1,ma-nma,229
ma-nma.01,35,2,1,ma-nma,103
ma-nma.01,36,2,1,ma-nma,102
ma-nma.01,37,2,1,ma-nma,371
ma-nma.02,1,2,1,ma-nma,196
ma-nma.02,2,2,1,ma-nma,141
ma-nma.02,3,2,1,ma-nma,0
ma-nma.02,4,2,1,ma-nma,430
ma-nma.02,5,2,1,ma-nma,176
ma-nma.02,6,2,1,ma-nma,1144
ma-nma.02,7,2,1,ma-nma,327
ma-nma.02,8,2,1,ma-nma,156
ma-nma.02,9,2,1,ma-nma,0
ma-nma.02,10,2,1,ma-nma,718
ma-nma.02,11,2,1,ma-nma,156
ma-nma.02,12,2,1,ma-nma,484
ma-nma.02,13,2,1,ma-nma,220
ma-nma.02,14,2,1,ma-nma,342
ma-nma.02,15,2,1,ma-nma,58
ma-nma.02,16,2,1,ma-nma,0
ma-nma.02,17,2,1,ma-nma,0
ma-nma.02,18,2,1,ma-nma,53
ma-nma.02,19,2,1,ma-nma,376
ma-nma.02,20,2,1,ma-nma,210
ma-nma.02,21,2,1,ma-nma,357
ma-nma.02,22,2,1,ma-nma,342
ma-nma.02,23,2,1,ma-nma,548
ma-nma.02,24,2,1,ma-nma,141
ma-nma.02,25,2,1,ma-nma,629.4
ma-nma.02,26,2,1,ma-nma,130
ma-nma.02,27,2,1,ma-nma,151
ma-nma.02,28,2,1,ma-nma,107
ma-nma.02,29,2,1,ma-nma,0
ma-nma.02,30,2,1,ma-nma,234
ma-nma.02,31,2,1,ma-nma,391
ma-nma.02,32,2,1,ma-nma,117
ma-nma.02,33,2,1,ma-nma,332
ma-nma.02,34,2,1,ma-nma,254
ma-nma.02,35,2,1,ma-nma,132
ma-nma.02,36,2,1,ma-nma,347
ma-nma.02,37,2,1,ma-nma,982.9
ma-nma.03,1,2,1,ma-nma,593.7
ma-nma.03,2,2,1,ma-nma,386
ma-nma.03,3,2,1,ma-nma,0
ma-nma.03,4,2,1,ma-nma,112
ma-nma.03,5,2,1,ma-nma,215
ma-nma.03,6,2,1,ma-nma,440
ma-nma.03,7,2,1,ma-nma,68
ma-nma.03,8,2,1,ma-nma,283
ma-nma.03,9,2,1,ma-nma,151
ma-nma.03,10,2,1,ma-nma,161
ma-nma.03,11,2,1,ma-nma,669
ma-nma.03,12,2,1,ma-nma,195
ma-nma.03,13,2,1,ma-nma,87
ma-nma.03,14,2,1,ma-nma,249
ma-nma.03,15,2,1,ma-nma,0
ma-nma.03,16,2,1,ma-nma,166
ma-nma.03,17,2,1,ma-nma,464
ma-nma.03,18,2,1,ma-nma,229
ma-nma.03,19,2,1,ma-nma,122
ma-nma.03,20,2,1,ma-nma,151
ma-nma.03,21,2,1,ma-nma,136
ma-nma.03,22,2,1,ma-nma,271
ma-nma.03,23,2,1,ma-nma,684.4
ma-nma.03,24,2,1,ma-nma,181
ma-nma.03,25,2,1,ma-nma,221
ma-nma.03,26,2,1,ma-nma,176
ma-nma.03,27,2,1,ma-nma,117
ma-nma.03,28,2,1,ma-nma,450
ma-nma.03,29,2,1,ma-nma,88
ma-nma.03,30,2,1,ma-nma,220
ma-nma.03,31,2,1,ma-nma,239
ma-nma.03,32,2,1,ma-nma,288
ma-nma.03,33,2,1,ma-nma,293
ma-nma.03,34,2,1,ma-nma,166
ma-nma.03,35,2,1,ma-nma,176
ma-nma.03,36,2,1,ma-nma,254
ma-nma.03,37,2,1,ma-nma,210
ma-nma.04,1,2,1,ma-nma,80.5
ma-nma.04,2,2,1,ma-nma,171
ma-nma.04,3,2,1,ma-nma,0
ma-nma.04,4,2,1,ma-nma,220
ma-nma.04,5,2,1,ma-nma,347
ma-nma.04,6,2,1,ma-nma,366
ma-nma.04,7,2,1,ma-nma,313
ma-nma.04,8,2,1,ma-nma,523
ma-nma.04,9,2,1,ma-nma,141
ma-nma.04,10,2,1,ma-nma,161
ma-nma.04,11,2,1,ma-nma,166
ma-nma.04,12,2,1,ma-nma,151
ma-nma.04,13,2,1,ma-nma,259
ma-nma.04,14,2,1,ma-nma,322
ma-nma.04,15,2,1,ma-nma,356
ma-nma.04,16,2,1,ma-nma,499
ma-nma.04,17,2,1,ma-nma,53
ma-nma.04,18,2,1,ma-nma,332
ma-nma.04,19,2,1,ma-nma,122
ma-nma.04,20,2,1,ma-nma,684
ma-nma.04,21,2,1,ma-nma,978
ma-nma.04,22,2,1,ma-nma,342
ma-nma.04,23,2,1,ma-nma,196
ma-nma.04,24,2,1,ma-nma,267
ma-nma.04,25,2,1,ma-nma,100
ma-nma.04,26,2,1,ma-nma,246
ma-nma.04,27,2,1,ma-nma,200
ma-nma.04,28,2,1,ma-nma,528
ma-nma.04,29,2,1,ma-nma,88
ma-nma.04,30,2,1,ma-nma,201
ma-nma.04,31,2,1,ma-nma,107
ma-nma.04,32,2,1,ma-nma,308
ma-nma.04,33,2,1,ma-nma,572.3
ma-nma.04,34,2,1,ma-nma,269
ma-nma.04,35,2,1,ma-nma,390
ma-nma.04,36,2,1,ma-nma,224
ma-nma.04,37,2,1,ma-nma,259
ma-nma.05,1,2,1,ma-nma,196.3
ma-nma.05,2,2,1,ma-nma,195
ma-nma.05,3,2,1,ma-nma,112
ma-nma.05,4,2,1,ma-nma,141
ma-nma.05,5,2,1,ma-nma,176
ma-nma.05,6,2,1,ma-nma,234
ma-nma.05,7,2,1,ma-nma,264
ma-nma.05,8,2,1,ma-nma,449
ma-nma.05,9,2,1,ma-nma,215
ma-nma.05,10,2,1,ma-nma,166
ma-nma.05,11,2,1,ma-nma,528
ma-nma.05,12,2,1,ma-nma,361
ma-nma.05,13,2,1,ma-nma,293
ma-nma.05,14,2,1,ma-nma,215
ma-nma.05,15,2,1,ma-nma,322
ma-nma.05,16,2,1,ma-nma,259
ma-nma.05,17,2,1,ma-nma,220
ma-nma.05,18,2,1,ma-nma,190
ma-nma.05,19,2,1,ma-nma,63
ma-nma.05,20,2,1,ma-nma,249
ma-nma.05,21,2,1,ma-nma,288
ma-nma.05,22,2,1,ma-nma,372
ma-nma.05,23,2,1,ma-nma,815
ma-nma.05,24,2,1,ma-nma,161
ma-nma.05,25,2,1,ma-nma,276
ma-nma.05,26,2,1,ma-nma,156
ma-nma.05,27,2,1,ma-nma,420
ma-nma.05,28,2,1,ma-nma,337
ma-nma.05,29,2,1,ma-nma,322
ma-nma.05,30,2,1,ma-nma,259
ma-nma.05,31,2,1,ma-nma,249
ma-nma.05,32,2,1,ma-nma,254
ma-nma.05,33,2,1,ma-nma,185
ma-nma.05,34,2,1,ma-nma,73
ma-nma.05,35,2,1,ma-nma,195
ma-nma.05,36,2,1,ma-nma,186
ma-nma.05,37,2,1,ma-nma,239
ma-nma.06,1,2,1,ma-nma,372.5
ma-nma.06,2,2,1,ma-nma,249
ma-nma.06,3,2,1,ma-nma,0
ma-nma.06,4,2,1,ma-nma,366
ma-nma.06,5,2,1,ma-nma,195
ma-nma.06,6,2,1,ma-nma,278
ma-nma.06,7,2,1,ma-nma,200
ma-nma.06,8,2,1,ma-nma,313
ma-nma.06,9,2,1,ma-nma,156
ma-nma.06,10,2,1,ma-nma,0
ma-nma.06,11,2,1,ma-nma,425
ma-nma.06,12,2,1,ma-nma,205
ma-nma.06,13,2,1,ma-nma,313
ma-nma.06,14,2,1,ma-nma,146
ma-nma.06,15,2,1,ma-nma,229
